Data,Receita_Esperada_Ingenua,Receita_Projetada_IA,Acumulado_Ingenuo,Acumulado_IA,Furo_de_Caixa_Acumulado
2013-09-10,304.8,151.55,5895.540000000001,5313.07,582.4700000000012
2013-09-11,187.59,194.07999999999998,6083.130000000001,5507.15,575.9800000000014
2013-09-12,234.81,96.80000000000001,6317.940000000001,5603.95,713.9900000000016
2013-09-13,346.03000000000003,232.35,6663.970000000001,5836.3,827.670000000001
2013-09-14,132.41,132.41,6796.380000000001,5968.71,827.670000000001
2013-09-15,123.31,278.25,6919.690000000001,6246.96,672.7300000000014
2013-09-16,301.93,347.17,7221.620000000002,6594.13,627.4900000000016
2013-09-17,262.11,347.17,7483.730000000001,6941.3,542.4300000000012
2013-09-18,270.65,243.0,7754.380000000001,7184.3,570.0800000000008
2013-09-19,32.87,179.69,7787.250000000001,7363.99,423.2600000000011
2013-09-20,525.66,453.10999999999996,8312.910000000002,7817.099999999999,495.8100000000022
2013-09-21,636.22,470.24,8949.130000000001,8287.34,661.7900000000009
2013-09-22,110.31,110.31,9059.44,8397.65,661.7900000000009
2013-09-23,135.71,131.46,9195.15,8529.109999999999,666.0400000000009
2013-09-24,110.74000000000001,152.02,9305.89,8681.13,624.7600000000002
2013-09-25,109.46000000000001,190.32999999999998,9415.349999999999,8871.46,543.8899999999994
2013-09-26,219.75,173.2,9635.099999999999,9044.66,590.4399999999987
2013-09-27,367.26,303.7,10002.359999999999,9348.36,653.9999999999982
2013-09-28,87.37,49.31,10089.73,9397.67,692.0599999999995
2013-09-29,152.07999999999998,126.68,10241.81,9524.35,717.4599999999991
2013-09-30,197.03,347.65,10438.84,9872.0,566.8400000000001
2013-10-01,353.89,328.73,10792.73,10200.73,592.0
2013-10-02,308.98,207.65,11101.71,10408.38,693.3299999999999
2013-10-03,244.47,228.12,11346.179999999998,10636.5,709.6799999999985
2013-10-04,82.12,0.0,11428.3,10636.5,791.7999999999993
2013-10-05,137.79000000000002,256.44,11566.09,10892.94,673.1499999999996
2013-10-06,241.13,245.20000000000002,11807.22,11138.140000000001,669.0799999999981
2013-10-07,202.81,261.89,12010.029999999999,11400.03,609.9999999999982
2013-10-08,398.9,311.81,12408.929999999998,11711.84,697.0899999999983
2013-10-09,56.480000000000004,113.75,12465.409999999998,11825.59,639.8199999999979
2013-10-10,391.12,348.68,12856.529999999999,12174.27,682.2599999999984
2013-10-11,79.52,0.0,12936.05,12174.27,761.7799999999988
2013-10-12,190.45,19.7,13126.5,12193.970000000001,932.5299999999988
2013-10-13,175.7,276.07,13302.2,12470.04,832.1599999999999
2013-10-14,414.48,401.07,13716.68,12871.11,845.5699999999997
2013-10-15,122.53999999999999,22.9,13839.220000000001,12894.01,945.210000000001
2013-10-16,142.66,203.87,13981.880000000001,13097.880000000001,884.0
2013-10-17,130.96,298.58,14112.84,13396.460000000001,716.3799999999992
2013-10-18,319.57,456.24,14432.41,13852.7,579.7099999999991
2013-10-19,264.93,325.6,14697.34,14178.300000000001,519.039999999999
